,,,,,"This page is auto-generated, do not touch!
1. Hide Column E
2. Update the required versions in the Version Lookup page
3. Filter column A by ""yes""
4. Copy columns B - N to the FAS",,,,,,,
,Leaf and Sub-Leaf,,,hide,CPUID Field,,,,,,Virtualization,
Applicable for Selected Versions,Leaf,Sub-Leaf From,Sub-Leaf To,Header,Reg.,MSB,LSB,Field Size,Field Name,Configuration Details,Bit or Field Virtualization Type,Virtualization Details
yes,0x1,N/A,N/A,Field,EDX,0,0,1,FPU,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,1,1,1,VME,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,2,2,1,DE,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,3,3,1,PSE,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,4,4,1,TSC,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,5,5,1,MSR,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,6,6,1,PAE,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,7,7,1,MCE,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,8,8,1,CX8,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,9,9,1,APIC,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,10,10,1,Reserved,,Fixed,0x0
yes,0x1,N/A,N/A,Field,EDX,11,11,1,SEP,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,12,12,1,MTRR,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,13,13,1,PGE,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,14,14,1,MCA,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,15,15,1,CMOV,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,16,16,1,PAT,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,17,17,1,PSE-36,,Fixed,0x0
yes,0x1,N/A,N/A,Field,EDX,18,18,1,PSN,TD_PARAMS.CPUID_CONFIG,Configured & Native,
yes,0x1,N/A,N/A,Field,EDX,19,19,1,CLFSH,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,20,20,1,Reserved,,Fixed,0x0
yes,0x1,N/A,N/A,Field,EDX,21,21,1,DS,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,22,22,1,ACPI,TD_PARAMS.CPUID_CONFIG,Configured & Native,
yes,0x1,N/A,N/A,Field,EDX,23,23,1,MMX,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,24,24,1,FXSR,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,25,25,1,SSE,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,26,26,1,SSE2,,Fixed,0x1
yes,0x1,N/A,N/A,Field,EDX,27,27,1,SS,,Configured & Native,
yes,0x1,N/A,N/A,Field,EDX,28,28,1,HTT,TD_PARAMS.CPUID_CONFIG,Configured & Native,
yes,0x1,N/A,N/A,Field,EDX,29,29,1,TM,TD_PARAMS.CPUID_CONFIG,Configured & Native,
yes,0x1,N/A,N/A,Field,EDX,30,30,1,Reserved,,Fixed,0x0
yes,0x1,N/A,N/A,Field,EDX,31,31,1,PBE,TD_PARAMS.CPUID_CONFIG,Configured & Native,
yes,0x2,N/A,N/A,Leaf,,,,,Leaf 0x2,,#VE,
yes,0x2,N/A,N/A,Field,EAX,7,0,8,Number of descriptors,,#VE,
yes,0x2,N/A,N/A,Field,EAX,15,8,8,LLC Descriptor,,#VE,
yes,0x2,N/A,N/A,Field,EAX,23,16,8,TLB Descriptor,,#VE,
yes,0x2,N/A,N/A,Field,EAX,31,24,8,Descriptor,,#VE,
yes,0x2,N/A,N/A,Field,EBX,7,0,8,Prefetching size,,#VE,
yes,0x2,N/A,N/A,Field,EBX,15,8,8,0,,#VE,
yes,0x2,N/A,N/A,Field,EBX,23,16,8,0,,#VE,
yes,0x2,N/A,N/A,Field,EBX,31,24,8,Descriptor,,#VE,
yes,0x2,N/A,N/A,Field,ECX,7,0,8,0,,#VE,
yes,0x2,N/A,N/A,Field,ECX,15,8,8,0,,#VE,
yes,0x2,N/A,N/A,Field,ECX,23,16,8,0,,#VE,
yes,0x2,N/A,N/A,Field,ECX,31,24,8,Descriptor,,#VE,
yes,0x2,N/A,N/A,Field,EDX,7,0,8,0,,#VE,
yes,0x2,N/A,N/A,Field,EDX,15,8,8,0,,#VE,
yes,0x2,N/A,N/A,Field,EDX,23,16,8,0,,#VE,
yes,0x2,N/A,N/A,Field,EDX,31,24,8,Descriptor,,#VE,
yes,0x3,N/A,N/A,Leaf,,,,,Leaf 0x3,,,
yes,0x3,N/A,N/A,Field,EAX,31,0,32,Reserved,,Fixed,0x0
yes,0x3,N/A,N/A,Field,EBX,31,0,32,Reserved,,Fixed,0x0
yes,0x3,N/A,N/A,Field,ECX,31,0,32,Reserved,,Fixed,0x0
yes,0x3,N/A,N/A,Field,EDX,31,0,32,Reserved,,Fixed,0x0
yes,0x4,0x0,0x0,Sub-Leaf,,,,,Leaf 0x4 / Sub-Leaf 0x0,,,
yes,0x4,0x0,0x0,Field,EAX,4,0,5,Type,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x0,0x0,Field,EAX,7,5,3,Level,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x0,0x0,Field,EAX,8,8,1,Self Initializing,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x0,0x0,Field,EAX,9,9,1,Fully Associative,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x0,0x0,Field,EAX,13,10,4,Reserved,TD_PARAMS.CPUID_CONFIG,Fixed,0x0
yes,0x4,0x0,0x0,Field,EAX,25,14,12,Addressable IDs Sharing this Cache,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x0,0x0,Field,EAX,31,26,6,Addressable IDs for Cores in Package,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x0,0x0,Field,EBX,11,0,12,L,,Fixed,0x3F
yes,0x4,0x0,0x0,Field,EBX,21,12,10,P,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x0,0x0,Field,EBX,31,22,10,W,TD_PARAMS.CPUID_CONFIG,Configured,
yes,0x4,0x0,0x0,Field,ECX,31,0,32,Number of Sets,TD_PARAMS.CPUID_CONFIG,Configured,
